microsample	total_sequences	total_trimmed_sequences	percent_gc	percent_unique	reads_mapped_host_percent	reads_mapped_human_percent	reads_mapped_bacteria	reads_mapped_bacteria_percent	reads_mapped_other_percent	quality
M300706	19058652	3779042	70.42857142857143	29.477144065973988	0.06142857142857144	0.047142857142857146	3299672	74.99886149213827	25.001138507861725	2
M300707	25189802	6013246	69.14285714285714	32.408892709935365	0.008571428571428572	0.04428571428571429	5204503	74.31457207135895	25.685427928641047	2
M300708	19894302	9610970	63.214285714285715	52.224654559481706	0.008571428571428572	0.025714285714285714	8275234	73.8646762639647	26.135323736035303	3
M300709	18131414	11866	74.92857142857143	14.557132256514864	4.497142857142857	24.55857142857143	677	8.292453453026253	91.70754654697375	1
M300710	24091356	17220	75.21428571428571	13.852302095595139	1.9042857142857144	19.77	409	2.9676602995967807	97.03233970040321	1
M300711	17774952	9189470	62.214285714285715	54.80613854746247	4.062857142857143	0.04285714285714286	7566967	74.70238435510625	25.297615644893753	3
M300712	13371120	9355290	59.142857142857146	70.74685320999072	0.018571428571428572	0.060000000000000005	8066435	74.24796815259904	25.752031847400957	4
M300713	20102418	6996	75.64285714285714	15.020447097641398	3.012857142857143	7.594285714285714	85	1.4498357633305488	98.55016423666945	1
M300714	21134334	7942204	66	43.36969431206165	0.008571428571428572	0.025714285714285714	6857176	74.24058625315838	25.759413746841616	3
M300715	18951116	9121768	64	51.79124375418382	0.018571428571428572	0.024285714285714285	7904494	74.41558354478857	25.584416455211425	3
M300716	19914488	4077026	70.14285714285714	33.284541119904816	0.024285714285714285	0.10571428571428572	3489227	73.5039138880501	26.496086111949893	2
M300717	13930828	5509518	65.92857142857143	46.348203623495124	0.04	0.018571428571428572	4755554	74.26589738345952	25.734102616540483	3
M300718	17557926	14584388	56.42857142857143	78.15850813638104	0.005714285714285714	0.017142857142857144	12459707	74.9567915012459	25.043208498754097	4
M300719	24825972	21060	75.14285714285714	13.324755778699362	1.1642857142857144	15.75	813	4.603250259817079	95.39674974018293	1
M300720	18080698	482178	74.71428571428571	16.631428135059032	25.705714285714286	74.69285714285714	3339	6.928814435843813	93.07118556415618	1
M300721	20273764	12409970	61.42857142857143	62.0602236426796	0.008571428571428572	0.01	10671857	74.03046451330566	25.96953548669434	3
M300722	23645072	3354410	71.78571428571429	24.93323139973761	0.5	0.032857142857142856	2903836	74.73878384878346	25.261216151216544	2
M300723	60	0	67.64285714285714	94.84126984126985	NA	NA	0	NA	NA	NA
M300724	17813582	6642646	66.85714285714286	43.60119644360032	0.1	0.1742857142857143	5702229	73.90117401886896	26.098825981131043	3
M300725	14707212	895834	73.5	21.034616279275184	0.055714285714285716	0.15	771396	74.11541151589023	25.88458848410977	2
M300726	16106214	181854	74.78571428571429	16.318744837395535	1.0185714285714287	30.587142857142855	2260	1.851997352101538	98.14800264789847	1
M300727	17278612	9016570	62.714285714285715	54.819153124636955	0.008571428571428572	0.25857142857142856	7797257	74.67154898782293	25.32845101217707	3
M300728	34764800	39132	75.21428571428571	12.635325369026164	3.2942857142857145	12.374285714285714	689	2.0167895227392347	97.98321047726077	1
M300729	38097118	328112	74.78571428571429	13.888226531763843	0.31285714285714283	0.2842857142857143	278124	73.90834289115976	26.091657108840238	2
M300730	30391696	715270	74.78571428571429	15.913993688657701	0.038571428571428576	0.11571428571428571	614441	74.01087085995641	25.989129140043588	2
M300731	31634480	6912284	69.85714285714286	30.867936177475972	0.03	0.037142857142857144	6037652	74.97337458582318	25.02662541417682	2
M300732	15530436	187428	74.85714285714286	16.18901501130963	0.48142857142857143	0.30714285714285716	123452	57.908776917031325	42.091223082968675	2
M300733	28834124	1538706	73.78571428571429	17.314992894311953	0.015714285714285715	0.1	1299283	72.56287609266207	27.437123907337934	2
M300734	36948218	39762	75.28571428571429	12.981383453954281	0.4185714285714286	9.815714285714286	4618	12.920992043561618	87.07900795643837	1
M300735	63583828	5012766	73.14285714285714	19.249872127103153	0.011428571428571429	0.14285714285714288	4295061	73.69392250014901	26.306077499850986	2
M300736	30973352	9235500	68	36.642437957650046	0.05142857142857143	0.36428571428571427	7782593	72.97358077819642	27.02641922180358	3
M300737	25445734	372128	74.85714285714286	14.947310522390172	46.76285714285714	2.927142857142857	50977	27.416596415751563	72.58340358424843	2
M300738	35401942	8959254	69.5	33.56355132889537	0.017142857142857144	0.014285714285714285	7743490	74.58956832452	25.410431675479998	2
M300739	59797686	27276	74.5	12.859413414739734	1.6771428571428573	4.892857142857143	101	0.43749477963073274	99.56250522036926	2
M300740	24873786	177338	74.78571428571429	15.147269783120269	0.45714285714285713	1.8714285714285714	1352	0.6836253460346031	99.3163746539654	2
M300741	16670480	6697268	65.85714285714286	46.55273388050354	0.39	0.25285714285714284	5640405	72.81297280379228	27.187027196207723	3
M300742	19391712	8438870	65	48.55293049522768	0.47285714285714286	0.23	7136333	73.35377574578719	26.64622425421281	3
M300743	34810024	6990144	70.35714285714286	29.647224479943024	0.0642857142857143	0.02142857142857143	6028955	74.36293158133314	25.637068418666857	2
M300744	24819276	1741136	73.42857142857143	18.94252429997863	0.07285714285714286	0.23	1466683	72.58052936872204	27.41947063127796	2
M300745	37946444	3251948	72.71428571428571	20.048869648487376	0.02	0.7728571428571429	2729914	72.76460508655205	27.235394913447948	2
M300746	30198210	8782	74.85714285714286	13.79146504524803	1.0514285714285714	10.202857142857143	475	7.7697580127843136	92.23024198721569	1
M300747	35216960	9719534	68.78571428571429	34.8765070596682	0.5528571428571428	0.018571428571428572	8348996	74.61891181439815	25.381088185601854	2
M300748	47813730	4596122	72.85714285714286	20.605758053572274	0.08	0.16857142857142857	3893840	72.94813427344342	27.051865726556585	2
M300749	33979592	58426	75.28571428571429	12.921498499609323	1.497142857142857	6.055714285714286	985	1.6757071500150453	98.32429284998496	1
M300750	42515480	6463080	71.21428571428571	25.09835996283499	0.02857142857142857	0.02857142857142857	5592149	74.49642035075443	25.503579649245566	2
M300751	33272966	8244008	69.21428571428571	33.702043847856196	0.07	0.032857142857142856	7059901	73.98410496588299	26.01589503411701	2
M300752	4583592	72974	74.42857142857143	24.599636713731922	1.062857142857143	21.93285714285714	1409	2.2388500056422136	97.76114999435778	0
M300753	21783290	7678590	65.85714285714286	42.47708207274507	20.73	0.12	4929042	72.98895899231034	27.011041007689656	3
M300754	23444132	9786	75.5	14.961422113367254	2.1271428571428572	8.968571428571428	88	1.0927420593784956	98.9072579406215	1
M300755	27759756	6437102	69.57142857142857	31.666068174834876	0.008571428571428572	0.04714285714285714	5554178	74.07227476791068	25.927725232089315	2
M300756	19192550	17534168	55.07142857142857	85.53599444413989	0.012857142857142857	0.011428571428571429	15140453	81.82081390866713	18.179186091332866	5
