first	second	richness	neutral	phylogenetic
M300801	M301143	0.3834586466165413	0.524936153921971	0.12022191924182135
M300801	M301146	0.6116504854368932	0.5730990822619991	0.13872242870786877
M300801	M301148	0.7204301075268815	0.6413425449342542	0.18879654882783703
M300801	M301149	0.8160919540229883	0.7174828971184447	0.20698553830840505
M300801	M301151	0.7419354838709677	0.6531861141147656	0.20209085006290373
M300801	M301152	0.39534883720930236	0.5291997218763009	0.11902230466489472
M300801	M301153	0.38931297709923673	0.5208859235275484	0.11695309015268807
M300801	M301154	0.3880597014925373	0.5153738038682673	0.11345540579069868
M300801	M301155	0.9259259259259258	0.9010470820673052	0.2352764093187637
M300801	M301157	0.3834586466165413	0.514954887444756	0.1106442183736317
M300801	M301158	0.45299145299145294	0.5422297805592164	0.12204204788878403
M300801	M301159	0.40157480314960625	0.5264403050170191	0.11810255670679126
M300801	M301161	0.40625	0.529602619250789	0.1171442045896125
M300801	M301162	0.3880597014925373	0.5202935643632964	0.11536047294162899
M300801	M301163	0.3880597014925373	0.5238932198420709	0.11868802754541952
M300801	M301164	0.3880597014925373	0.5192902524910616	0.1131269201439925
M300801	M301166	0.39393939393939403	0.5285540304843842	0.11619032990010636
M300801	M301168	0.4453781512605042	0.5343794560388017	0.11483419980256093
