sequence_id	M301474.lib1	M301475.lib1	M301476.lib1	M301477.lib1	M301478.lib1	M301479.lib1	M301480.lib1	M301481.lib1	M301482.lib1	M301483.lib1	M301484.lib1	M301485.lib1	M301486.lib1	M301487.lib1	M301488.lib1	M301489.lib1	M301490.lib1	M301491.lib1	M301492.lib1	M301493.lib1	M301494.lib1	M301495.lib1	M301496.lib1	M301497.lib1	M301498.lib1	M301499.lib1	M301500.lib1	M301501.lib1	M301502.lib1	M301503.lib1	M301504.lib1	M301505.lib1	M301506.lib1	M301507.lib1	M301508.lib1	M301509.lib1	M301510.lib1	M301511.lib1	M301512.lib1	M301513.lib1	M301514.lib1	M301515.lib1	M301516.lib1	M301517.lib1	M301518.lib1	M301519.lib1	M301520.lib1	M301521.lib1	M301522.lib1	M301523.lib1	M301524.lib1	M301525.lib1	M301526.lib1	M301527.lib1	M301528.lib1	M301529.lib1	M301530.lib1	M301531.lib1	M301532.lib1	M301533.lib1	M301534.lib1	M301535.lib1	M301536.lib1	M301537.lib1	M301538.lib1	M301539.lib1	M301540.lib1	M301541.lib1	M301542.lib1	M301543.lib1	M301544.lib1	M301545.lib1	M301546.lib1	M301547.lib1	M301548.lib1	M301549.lib1	M301550.lib1	M301551.lib1	M301552.lib1	M301553.lib1	M301554.lib1	M301555.lib1	M301556.lib1	M301557.lib1	M301558.lib1	M301559.lib1	M301560.lib1	M301561.lib1	M301562.lib1	M301563.lib1	M301564.lib1	M301565.lib1	M301566.lib1	M301567.lib1	M301568.lib1	M301569.lib1
GPB:bin_000042	8	0	18	41	26	0	11	11	5	0	10	11	21	7	0	15	23	19	0	12	25	0	7	19	0	2	0	57	48	40	9	29	17	0	15	21	26	0	0	41	25	6	2	0	0	41	177	38	10	8	13	4	13	17	10	0	7	25	12	1	0	19	14	16	23	0	41	30	1	81	8	31	1	10	35	0	0	32	0	26	2	21	15	0	1	100	0	95	0	2	56	12	74	0	0	2
GPB:bin_000043	195510	119	201568	178076	225411	18	172273	80071	160736	42354	152739	143730	139977	199906	287	176013	180281	184388	910	181932	184835	210	256901	258028	649	184412	8445	99334	364	203948	186600	191205	217535	2950	172442	185346	193897	10315	128	233368	172036	113208	91687	381	5720	42310	1901	120720	174374	153328	160933	2360	284806	163955	130740	29	211290	232655	203134	716	7923	229871	254618	155160	152607	65	207599	177675	178069	645	184138	236585	174	217421	228333	282986	3689	202802	72	174307	165543	120315	197731	129868	186	431	217061	209980	198357	360	163677	159947	217824	222805	139	139893
GPB:bin_000044	4090	0	3913	3706	4152	0	3440	2784	3510	870	3566	3161	3464	3663	45	4292	4774	3204	2	3935	3782	3	5781	4038	18	3896	49	2319	5	3904	3154	4218	4637	8	3697	4090	4428	459	4	4621	5277	1783	2451	10	347	666	26	3828	3359	3139	3327	15	6346	3592	3103	0	4486	5525	5045	23	220	4475	4495	4241	3852	0	4054	3983	4021	6	4104	5994	2	4475	4553	6283	103	4543	0	3770	4655	3344	4892	3508	5	17	2765	3303	2512	7	3992	4474	4291	5230	2	2620
GPB:bin_000045	144789	100	140626	132541	164671	7	121190	73845	129941	35117	126241	110217	110862	140111	608	139489	139910	107782	977	130561	145757	90	181616	146307	499	104660	1966	66241	280	161019	125613	115826	137664	693	118971	169111	154814	9378	91	143063	150104	115346	86900	408	2048	41989	755	149797	139028	110920	118623	698	214419	119178	100832	20	156392	184367	151334	3439	5494	179948	204071	128513	126152	47	141721	135491	153866	678	130129	180013	96	145749	125695	220562	2565	138243	57	104227	121631	199857	196751	99251	156	396	145107	95040	115314	253	127982	223968	117204	118717	113	130714
GPB:bin_000046	34915	16	34405	33601	35578	6	30323	24049	29498	10311	30038	25886	27289	33243	26	33281	37753	29082	92	33034	32227	59	41647	33462	131	30185	984	11872	74	32925	31762	38920	44738	58	29824	35147	31377	4006	42	31519	45398	29058	13858	32	1786	10985	613	29619	31179	26860	28543	296	49028	30550	24959	6	36856	43297	35029	185	1983	36230	47124	30906	33305	14	33272	38425	33064	158	32861	46317	22	36957	39938	59316	830	34658	11	27897	35066	27534	51663	27261	47	110	33566	37478	26135	74	31068	35111	38827	35146	33	32419
GPB:bin_000047	18134	2	16301	15635	17665	4	16237	17763	17305	6569	17445	16313	16066	16748	67	18622	20558	14671	240	19883	20684	14	28533	21180	77	17418	334	9589	30	19470	18168	19956	20805	251	15047	19875	17811	2474	14	15015	16301	11683	9108	33	1169	5484	209	17979	14997	14651	16087	125	28229	17582	14177	0	20729	24867	20301	207	747	19544	30981	22265	17258	13	20794	19216	19243	54	19609	28751	16	21643	20131	27565	426	22557	8	14937	26405	17097	23706	17073	25	50	17863	15504	16797	38	18556	21175	17645	17457	44	11410
GPB:bin_000048	36716	777	37112	33241	44238	208	34015	25709	34562	5576	36860	27588	29117	42107	322	34545	31267	31384	2139	40040	46481	1577	34417	38938	3242	55602	2946	24167	3467	29152	49456	42316	172559	12176	42298	75456	42529	13109	6778	45832	16839	14263	44238	9920	11355	8936	5237	31059	29618	30535	35373	879	54032	36546	30021	285	41615	52791	42265	2152	693	42655	50562	33219	28566	1795	59520	33960	35819	3323	24243	54863	1927	50896	41111	70210	2721	38158	2288	19505	56205	35134	37789	27630	9641	10248	79587	51285	46147	9300	42869	59319	31569	31181	8720	63455
GPB:bin_000049	182	4	214	208	220	0	154	84	187	25	186	156	197	238	3	225	148	214	18	180	176	8	229	197	20	186	13	190	91	195	444	189	635	335	267	212	267	195	4	93	188	108	58	119	112	197	100	77	172	150	184	10	278	188	161	0	228	195	237	16	11	267	254	153	148	24	365	127	364	13	161	306	35	332	135	115	57	173	38	95	212	326	308	198	120	440	376	259	30	191	644	245	168	618	237	1229
GPB:bin_000050	61	0	44	31	72	0	69	32	48	5	94	61	38	70	0	75	56	126	0	80	56	0	47	77	0	18	2	14	1	73	60	20	44	7	101	71	18	0	0	147	0	0	0	0	0	0	0	21	26	27	49	0	78	46	56	0	70	46	38	0	0	61	45	63	58	0	76	49	8	0	32	100	0	54	38	53	0	47	0	93	17	34	32	8	0	0	31	37	102	0	68	69	95	2	0	11
GPB:bin_000051	297758	126	280655	299324	303860	46	267349	357943	310318	137483	317610	305058	288693	283130	708	256006	308003	250421	2406	342994	404063	290	526975	390177	1271	264523	8885	143124	769	377672	243960	298018	280039	7582	243732	315077	299856	94488	174	255433	424011	226887	125812	808	75739	70048	3284	230827	254740	257055	286072	3289	457387	292220	245288	27	333841	414175	414956	4398	13704	317991	331297	394359	243059	133	316615	287691	374946	1951	327669	430416	587	345557	311385	386513	4514	322210	121	239254	327726	301521	489241	748804	348	1304	328607	355863	147275	653	356168	371050	244711	257258	283	179628
