sequence_id	M301570.lib1	M301571.lib1	M301572.lib1	M301573.lib1	M301574.lib1	M301575.lib1	M301576.lib1	M301577.lib1	M301578.lib1	M301579.lib1	M301580.lib1	M301581.lib1	M301582.lib1	M301583.lib1	M301584.lib1	M301585.lib1	M301586.lib1	M301587.lib1	M301588.lib1	M301589.lib1	M301590.lib1	M301591.lib1	M301592.lib1	M301593.lib1	M301594.lib1	M301595.lib1	M301596.lib1	M301597.lib1	M301598.lib1	M301599.lib1	M301600.lib1	M301601.lib1	M301602.lib1	M301603.lib1	M301604.lib1	M301605.lib1	M301606.lib1	M301607.lib1	M301608.lib1	M301609.lib1	M301610.lib1	M301611.lib1	M301612.lib1	M301613.lib1	M301614.lib1	M301615.lib1	M301616.lib1	M301617.lib1	M301618.lib1	M301619.lib1	M301620.lib1	M301621.lib1	M301622.lib1	M301623.lib1	M301624.lib1	M301625.lib1	M301626.lib1	M301627.lib1	M301628.lib1	M301629.lib1	M301630.lib1	M301631.lib1	M301632.lib1	M301633.lib1	M301634.lib1	M301635.lib1	M301636.lib1	M301637.lib1	M301638.lib1	M301639.lib1	M301640.lib1	M301641.lib1	M301642.lib1	M301643.lib1	M301644.lib1	M301645.lib1	M301646.lib1	M301647.lib1	M301648.lib1	M301649.lib1	M301650.lib1	M301651.lib1	M301652.lib1	M301653.lib1	M301654.lib1	M301655.lib1	M301656.lib1	M301657.lib1	M301658.lib1	M301659.lib1	M301660.lib1	M301661.lib1	M301663.lib1	M301664.lib1
TG1_21:bin_000022	126855	52375	128421	96063	84	116	113161	109804	72009	64876	37274	246	105657	51661	78776	13	85	66562	139181	114620	246	112133	334	87295	112111	77224	428	16300	55118	38566	8	30	129253	170091	143710	212	135579	117	143141	98635	218	52	250	269	501	16	200	46	122561	177	84213	102120	75257	469	36300	89983	1669	51045	329	140078	316	64023	89181	6348	184151	425	149556	395	86383	64168	77104	113033	107594	73995	70	98501	84696	91939	83128	108	101	88	20	8	8	10	9	25	20	34	20	30	5	10
TG1_21:bin_000035	10406	9732	12445	11468	15	14	11783	11653	10901	11634	10994	22	13331	9078	11638	2	9	11324	13812	12371	51	9234	16	11496	16889	13388	27	11029	13094	8825	2	7	14189	12274	12574	43	11872	16	17710	15005	17	8	45	30	84	4	19	9	14100	23	14207	12943	14739	86	4957	12973	599	11436	51	13613	17	11683	13462	869	15742	48	20657	33	14829	12964	11345	17538	13760	12437	28	12949	14682	13371	11227	12	14	13	4	2	0	4	0	2	6	5	1	4	4	1
TG1_28:bin_000007	330	301	424	340	2	0	292	300	363	333	190	0	442	257	294	0	0	328	317	429	1	252	14	307	307	313	2	1685	361	279	0	0	443	398	366	0	324	1	554	468	0	0	2	0	0	0	0	0	428	0	539	420	376	0	115	330	26	380	2	438	0	360	341	2	444	0	564	0	414	486	402	386	437	374	2	428	488	449	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
TG1:bin_000020	110	113	138	210	0	2	111	89	180	288	152	2	111	142	152	0	0	156	143	150	0	218	0	96	158	133	0	72	212	32	0	0	131	163	109	0	193	0	176	183	2	0	4	0	0	0	0	0	176	0	166	157	177	0	30	165	23	208	0	180	0	116	114	0	216	0	257	4	199	174	109	264	132	124	0	97	97	185	111	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0
TG1:bin_000032	49	21	34	43	0	0	42	29	54	80	78	0	24	43	65	0	0	81	25	25	0	67	0	38	13	20	1	46	45	53	0	0	23	37	75	0	31	0	67	45	0	0	0	0	0	0	0	0	63	6	17	80	67	0	78	22	8	32	0	67	0	19	49	0	37	0	38	0	73	43	36	97	92	30	0	35	69	68	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TG1:bin_000047	35215	21893	39458	37116	61	51	42436	20318	35933	50545	38860	99	43066	28662	63684	10	14	46803	37940	38085	292	68473	42	32431	13394	38147	128	25007	70890	19177	8	15	41211	21854	38449	75	31664	88	30128	30690	47	26	94	144	286	10	80	26	39840	2715	31968	57358	68707	223	22907	36741	7676	75914	113	53394	121	33252	26316	3600	38587	247	64672	92	35250	32390	39990	38269	41598	34680	6	35039	37090	35184	31679	34	56	53	4	7	2	20	0	16	14	20	15	10	10	10
TG2_21:bin_000001	14027	9795	9914	13247	10	48	12087	12701	16472	13362	9106	44	24477	15126	4274	0	0	18497	17985	14775	51	24889	6	14009	8174	15306	55	5650	11719	10664	0	10	8877	14656	17618	36	19168	23	20798	13538	14	12	39	34	46	2	23	4	9883	27	12624	13318	11301	88	7014	8922	1125	14546	192	30224	53	11231	9491	1159	10905	52	21602	34	24786	10168	10981	20240	10391	11109	0	10235	5486	8960	13492	5	12	10	0	0	0	2	0	0	0	2	4	0	1	5
TG2_21:bin_000003	9323	7279	9119	9330	11	9	8082	7374	10070	12005	10031	49	9482	7764	9590	0	10	10998	13899	9627	49	13350	16	10170	9903	12597	20	4519	11188	6834	5	10	10933	10064	11886	26	8445	17	14852	12634	13	12	24	52	41	0	11	9	12897	194	9298	10241	12614	73	3997	11074	1635	10350	12	10957	14	8264	8406	726	12848	26	14036	23	10471	10108	7996	12527	9433	8327	17	11024	11526	11459	8305	9	19	11	0	2	5	2	2	6	0	8	0	0	0	0
TG2_21:bin_000011	159	104	116	147	0	0	96	124	169	146	134	0	78	105	115	0	0	92	208	112	1	125	0	86	121	155	0	52	163	33	0	0	122	94	131	0	94	0	157	157	0	0	0	0	8	0	0	0	181	0	159	95	132	0	15	138	2	108	0	134	0	105	121	0	184	0	187	0	94	182	85	137	158	94	0	133	98	146	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
TG2_35:bin_000003	31646	25606	32085	32785	60	60	34078	27577	45072	31231	40143	180	27353	23654	34953	10	41	32278	37206	89929	157	40762	18	50900	46579	34806	121	32623	34608	26246	3	12	39529	35106	37229	92	31880	74	43525	35048	72	21	98	87	245	9	63	12	42330	71	31852	30714	34736	197	13586	34256	1880	29408	95	53834	91	35992	31717	4556	34026	190	54049	174	33708	29916	23911	44043	33060	33682	46	47433	37318	34462	27062	21	78	37	6	2	3	4	8	8	6	10	9	10	3	3
