Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
REF0009-mgg-pbdrep | M301079.lib1	12297458.0	0.0	12297458.0	1.0	6148729.0	6148729.0	11388668.0	11305926.0	908790.0	10538540.0	12297458.0	0.0	175685.0	0.0	0.0	0.0	1824479355.0	912241604.0	912237751.0	1689676666.0	1689676666.0	0.0	0.0	10572529.0	0.006257131	148.0	148.0	148.0	150.0	150.0	150.0	39.0	257.7	94.2	5281457.0	236148.0	3441.0	131917.0	85.7	92.60993613476867	91.93709789454047	7.390063865231335	85.69689768405796	100.0	0.0	1.4286285832405365	0.0
REF0009-mgg-pbdrep | M301080.lib1	14753392.0	0.0	14753392.0	1.0	7376696.0	7376696.0	13641995.0	13542566.0	1111397.0	12731330.0	14753392.0	0.0	209602.0	0.0	0.0	0.0	2191009645.0	1095506755.0	1095502890.0	2026011107.0	2026011107.0	0.0	0.0	12775831.0	0.006305904	149.0	149.0	149.0	150.0	150.0	150.0	39.1	256.4	91.6	6367221.0	264145.0	3262.0	136655.0	86.3	92.46683745676927	91.79289752485394	7.533162543230737	86.29425694104786	100.0	0.0	1.420703794761232	0.0
REF0009-mgg-pbdrep | M301081.lib1	17833188.0	0.0	17833188.0	1.0	8916594.0	8916594.0	16520245.0	16405802.0	1312943.0	15566752.0	17833188.0	0.0	243140.0	0.0	0.0	0.0	2649865957.0	1324939163.0	1324926794.0	2454841488.0	2454841488.0	0.0	0.0	15229369.0	0.006203809	149.0	149.0	149.0	150.0	150.0	150.0	39.1	258.9	90.1	7750272.0	304642.0	3295.0	144692.0	87.3	92.63764280396752	91.99590112547459	7.362357196032477	87.29090951096349	100.0	0.0	1.3634129803375594	0.0
REF0009-mgg-pbdrep | M301082.lib1	12211194.0	0.0	12211194.0	1.0	6105597.0	6105597.0	11295292.0	11222150.0	915902.0	10614832.0	12211194.0	0.0	162332.0	0.0	0.0	0.0	1811544525.0	905769109.0	905775416.0	1675850898.0	1675850898.0	0.0	0.0	10089635.0	0.006020604	148.0	148.0	148.0	150.0	150.0	150.0	39.1	258.5	92.1	5278438.0	227615.0	2425.0	102597.0	86.9	92.49948858399924	91.9005135779515	7.500511416000761	86.92706053150904	100.0	0.0	1.3293704120989316	0.0
REF0009-mgg-pbdrep | M301083.lib1	40968.0	0.0	40968.0	1.0	20484.0	20484.0	341.0	326.0	40627.0	290.0	40968.0	0.0	60.0	0.0	0.0	0.0	5274788.0	2637136.0	2637652.0	49696.0	49696.0	0.0	0.0	798.0	0.01605763	129.0	129.0	129.0	150.0	150.0	150.0	39.0	205.9	90.7	148.0	11.0	0.0	4.0	0.7	0.832356961530951	0.795743018941613	99.16764303846904	0.7078695567272018	100.0	0.0	0.14645577035735208	0.0
REF0009-mgg-pbdrep | M301084.lib1	12124720.0	0.0	12124720.0	1.0	6062360.0	6062360.0	11207834.0	11124304.0	916886.0	10030108.0	12124720.0	0.0	176406.0	0.0	0.0	0.0	1795429869.0	897712843.0	897717026.0	1659721958.0	1659721958.0	0.0	0.0	10874730.0	0.006552139	148.0	148.0	148.0	150.0	150.0	150.0	38.9	257.1	100.7	5123740.0	253733.0	3123.0	181556.0	82.7	92.43787897782381	91.74895585217638	7.562121022176182	82.72445054401257	100.0	0.0	1.454928443708391	0.0
REF0009-mgg-pbdrep | M301085.lib1	16916088.0	0.0	16916088.0	1.0	8458044.0	8458044.0	15589627.0	15477894.0	1326461.0	14528636.0	16916088.0	0.0	245018.0	0.0	0.0	0.0	2509446958.0	1254726223.0	1254720735.0	2313093852.0	2313093852.0	0.0	0.0	15032498.0	0.00649887	148.0	148.0	148.0	150.0	150.0	150.0	39.0	257.5	92.6	7261456.0	313532.0	3786.0	160173.0	85.9	92.158583000987	91.49806976648502	7.841416999013011	85.8865004722132	100.0	0.0	1.4484318123670201	0.0
REF0009-mgg-pbdrep | M301086.lib1	1865466.0	0.0	1865466.0	1.0	932733.0	932733.0	1652626.0	1623146.0	212840.0	1512180.0	1865466.0	0.0	40927.0	0.0	0.0	0.0	272531229.0	136264723.0	136266506.0	242101184.0	242101184.0	0.0	0.0	1906561.0	0.007875059	146.0	146.0	146.0	150.0	150.0	150.0	39.0	237.2	96.6	728436.0	62012.0	3284.0	17841.0	81.1	88.59051840130027	87.01021621407197	11.409481598699735	81.06178295396433	100.0	0.0	2.193929023632701	0.0
REF0009-mgg-pbdrep | M301087.lib1	14317642.0	0.0	14317642.0	1.0	7158821.0	7158821.0	12989873.0	12905506.0	1327769.0	11970530.0	14317642.0	0.0	185718.0	0.0	0.0	0.0	2117389850.0	1058691410.0	1058698440.0	1924169669.0	1924169669.0	0.0	0.0	11248586.0	0.005845943	148.0	148.0	148.0	150.0	150.0	150.0	39.1	254.5	95.3	5998849.0	294477.0	2950.0	156477.0	83.6	90.72634306682623	90.13709100981852	9.273656933173772	83.60685369839531	100.0	0.0	1.2971269989848888	0.0
REF0009-mgg-pbdrep | M301089.lib1	14601652.0	0.0	14601652.0	1.0	7300826.0	7300826.0	13508791.0	13408062.0	1092861.0	12364186.0	14601652.0	0.0	204908.0	0.0	0.0	0.0	2165955801.0	1082977610.0	1082978191.0	2003910078.0	2003910078.0	0.0	0.0	12552931.0	0.006264219	148.0	148.0	148.0	150.0	150.0	150.0	39.0	266.0	98.0	6256573.0	266331.0	3426.0	177701.0	84.7	92.5154975615088	91.82565096058994	7.484502438491206	84.67662426141919	100.0	0.0	1.4033206653603305	0.0
