Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
M300814.lib1_2	M300814.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7443260.0	1.1 Gbp	0.0	150.0	53.0	61.65171765247391	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	warn
M300815.lib1_1	M300815.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6280516.0	942 Mbp	0.0	150.0	53.0	57.50916055288356	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	pass	warn
M300815.lib1_2	M300815.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6280516.0	942 Mbp	0.0	150.0	54.0	56.03691585060639	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	warn
M300816.lib1_1	M300816.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9652502.0	1.4 Gbp	0.0	150.0	53.0	65.56805365550066	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	pass	warn
M300816.lib1_2	M300816.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9652502.0	1.4 Gbp	0.0	150.0	53.0	64.38102813387043	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	warn
M300817.lib1_1	M300817.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	648771.0	97.3 Mbp	0.0	150.0	49.0	15.459102250635572	150.0	150	pass	pass	warn	pass	pass	warn	pass	pass	fail	warn	fail
M300817.lib1_2	M300817.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	648771.0	97.3 Mbp	0.0	150.0	49.0	14.39521803533142	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	fail
M300818.lib1_1	M300818.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9257131.0	1.3 Gbp	0.0	150.0	53.0	49.6799486771484	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	pass	warn
M300818.lib1_2	M300818.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	9257131.0	1.3 Gbp	0.0	150.0	53.0	48.13249230202586	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	warn
M300819.lib1_1	M300819.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6076251.0	911.4 Mbp	0.0	150.0	52.0	54.61880804393784	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	warn
M300819.lib1_2	M300819.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6076251.0	911.4 Mbp	0.0	150.0	53.0	53.26113947721688	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	warn	fail	warn
M300820.lib1_1	M300820.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6070631.0	910.5 Mbp	0.0	150.0	54.0	51.43469772222205	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	warn	pass	warn
M300820.lib1_2	M300820.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6070631.0	910.5 Mbp	0.0	150.0	54.0	50.240259413226084	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	warn	warn	warn
M300821.lib1_1	M300821.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7411088.0	1.1 Gbp	0.0	150.0	54.0	16.383097584820145	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	fail	pass	warn
M300821.lib1_2	M300821.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7411088.0	1.1 Gbp	0.0	150.0	54.0	15.076480296610303	150.0	150	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	warn
M300822.lib1_1	M300822.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7400049.0	1.1 Gbp	0.0	150.0	54.0	48.112512015480604	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	pass	warn
M300822.lib1_2	M300822.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7400049.0	1.1 Gbp	0.0	150.0	54.0	46.705696404648364	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	warn
M300823.lib1_1	M300823.lib1_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1345900.0	201.8 Mbp	0.0	150.0	49.0	16.045520654432856	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	pass	warn
M300823.lib1_2	M300823.lib1_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1345900.0	201.8 Mbp	0.0	150.0	50.0	15.549534090106947	150.0	150	pass	pass	warn	pass	pass	pass	pass	pass	fail	fail	warn
